啊,a,Thán từ,"A, à",你来了啊！,Nǐ lái le ā,Bạn đến rồi à!
同时,tóngshí,Phó từ,Đồng thời,我同时做两件事。,Wǒ tóngshí zuò liǎng jiàn shì,Tôi làm hai việc cùng một lúc.
同事,tóngshì,Danh từ,Đồng nghiệp,他是我的同事。,Tā shì wǒ de tóngshì,Anh ấy là đồng nghiệp của tôi.
同样,tóngyàng,Tính từ,Giống nhau,我们的想法同样。,Wǒmen de xiǎngfǎ tóngyàng,Suy nghĩ của chúng tôi giống nhau.
头 (名，量）,tóu,Lượng từ,Con (lượng từ cho gia súc) củ (lượng từ cho củ quả),我家有一头牛。 我买了两头蒜。,Wǒjiā yǒu yītóu niú/ /Wǒ mǎile liǎngtóu suàn,Nhà tôi có một con bò. Tôi đã mua hai củ tỏi.
头 (里头）,tou（lǐtou),,,,,
头发,tóufa,Danh từ,Tóc,她的头发很长。,Tā de tóufa hěn cháng,Tóc của cô ấy rất dài.
图片,túpiàn,Danh từ,Hình ảnh,这张图片很好看。,Zhè zhāng túpiàn hěn hǎokàn,Bức ảnh này rất đẹp.
推,tuī,Động từ,Đẩy,他推(tô đỏ)开了门。,Tā tuī kāi le mén,Anh ấy đẩy cửa ra.
腿,tuǐ,Danh từ,Chân,我的腿有点疼。,Wǒ de tuǐ yǒudiǎn téng,Chân tôi hơi đau.
外地,wàidì,Danh từ,"Ngoại tỉnh, nơi khác",他从外地回来。,Tā cóng wàidì huílái,Anh ấy từ nơi khác trở về.
外卖,wàimài,Danh từ,Đồ ăn mang đi,我点了外卖。,Wǒ diǎn le wàimài,Tôi đã đặt đồ ăn mang đi.
完,wán,Động từ,"Xong, hoàn thành",我吃完饭了。,Wǒ chī wán fàn le,Tôi đã ăn xong cơm.
完成,wánchéng,Động từ,Hoàn thành,我完成了作业。,Wǒ wánchéng le zuòyè,Tôi đã hoàn thành bài tập.
完全,wánquán,Phó từ,Hoàn toàn,我完全同意。,Wǒ wánquán tóngyì,Tôi hoàn toàn đồng ý.
晚安,wǎn’ān,Động từ,Chúc ngủ ngon,妈妈，晚安。,"Māma, wǎn’ān",Mẹ ngủ ngon nhé.
晚报,wǎnbào,Danh từ,Báo buổi tối,我买了一份晚报。,Wǒ mǎi le yí fèn wǎnbào,Tôi đã mua một tờ báo buổi tối.
晚餐,wǎncān,Danh từ,Bữa tối,我们一起吃晚餐。,Wǒmen yìqǐ chī wǎncān,Chúng tôi ăn tối cùng nhau.
晚会,wǎnhuì,Danh từ,Tiệc tối,他们去参加晚会。,Tāmen qù cānjiā wǎnhuì,Họ đi tham gia tiệc tối.
碗,wǎn,Danh từ,Cái bát,我买了一个碗。,Wǒ mǎi le yí gè wǎn,Tôi đã mua một cái bát.
万,wàn,Số từ,Mười nghìn,这个手机两万元。,Zhè gè shǒujī liǎng wàn yuán,Chiếc điện thoại này giá 20 nghìn nhân dân tệ.
网,wǎng,Danh từ,"Lưới (đánh bắt cá, chim) mạng, mạng lưới, hệ thống",他用网捉鱼。 这里的网(tô đỏ)络很快。,Tā yòng wǎng zhuō yú/ /Zhèlǐ de wǎng luò hěn kuài,Anh ấy dùng lưới để bắt cá. Mạng ở đây rất nhanh.
网球,wǎngqiú,Danh từ,Quần vợt,我喜欢打网球。,Wǒ xǐhuān dǎ wǎngqiú,Tôi thích chơi quần vợt.
网站,wǎngzhàn,Danh từ,Trang web,这个网站很有用。,Zhè gè wǎngzhàn hěn yǒuyòng,Trang web này rất hữu ích.
往,wǎng,Giới từ,Hướng về,他往学校走去了。,Tā wǎng xuéxiào zǒu qù le,Anh ấy đi về hướng trường học.
为,wèi,Giới từ,"Vì, để",我为你准备了礼物。,Wǒ wèi nǐ zhǔnbèi le lǐwù,Tôi đã chuẩn bị quà cho bạn.
为什么,wèi shénme,Đại từ,Tại sao,你为什么不去？,Nǐ wèi shénme bù qù,Tại sao bạn không đi?
位,wèi,Lượng từ,"Vị, ngài",这位老师很有名。,Zhè wèi lǎoshī hěn yǒumíng,Vị giáo viên này rất nổi tiếng.
味道,wèidào,Danh từ,Hương vị,这个菜味道很好。,Zhè gè cài wèidào hěn hǎo,Món ăn này có hương vị rất ngon.
喂,wèi,Thán từ,A lô,喂，你在家吗？,"Wèi, nǐ zài jiā ma","A lô, bạn có ở nhà không?"
温度,wēndù,Danh từ,Nhiệt độ,今天的温度很高。,Jīntiān de wēndù hěn gāo,Hôm nay nhiệt độ rất cao.
问,wèn,Động từ,Hỏi,请问，这里怎么走？,"Qǐng wèn, zhèlǐ zěnme zǒu","Xin hỏi, đi đến đây như thế nào?"
问路,wènlù,Động từ,Hỏi đường,他向我问路。,Tā xiàng wǒ wènlù,Anh ấy hỏi đường tôi.
问题,wèntí,Danh từ,"Câu hỏi, vấn đề",这个问题很容易。,Zhège wèntí hěn róngyì,Câu hỏi này rất dễ.
午餐,wǔcān,Danh từ,Bữa trưa,我们一起吃午餐吧！,Wǒmen yīqǐ chī wǔcān ba,Chúng ta cùng ăn trưa nhé!
午睡,wǔshuì,Động từ,Ngủ trưa,午睡对身体很好。,Wǔshuì duì shēntǐ hěn hǎo,Ngủ trưa tốt cho sức khỏe.
西北,xīběi,Danh từ,Tây bắc,他住在中国西北。,Tā zhù zài Zhōngguó xīběi,Anh ấy sống ở Tây Bắc Trung Quốc.
西餐,xīcān,Danh từ,Món ăn phương tây,我喜欢吃西餐。,Wǒ xǐhuān chī xīcān,Tôi thích ăn món Tây.
西方,xīfāng,Danh từ,Phương tây,西方国家很多。,Xīfāng guójiā hěn duō,Có nhiều quốc gia phương Tây.
西南,xīnán,Danh từ,Tây nam,我家在西南方向。,Wǒ jiā zài xīnán fāngxiàng,Nhà tôi ở hướng Tây Nam.
西医,xīyī,Danh từ,Tây y,他是西医。,Tā shì xīyī,Anh ấy là bác sĩ.
习惯,xíguàn,Động từ,Thói quen,我习惯早上喝茶。,Wǒ xíguàn zǎoshang hē chá,Tôi có thói quen uống trà buổi sáng.
洗衣机,xǐyījī,Danh từ,Máy giặt,我家有一台洗衣机。,Wǒ jiā yǒu yī tái xǐyījī,Nhà tôi có một cái máy giặt.
洗澡,xǐzǎo,Động từ,Tắm,我每天洗澡。,Wǒ měitiān xǐzǎo,Tôi tắm mỗi ngày.
下,xià,Lượng từ,"Tiếng, cái, lần (chỉ số lần của động tác)",钟打了三下。,Zhōngdǎ le sānxià,Chuông đổ ba tiếng.
下雪,xiàxuě,Động từ,Tuyết rơi,今天晚上会下雪。,Jīntiān wǎnshàng huì xiàxuě,Tối nay sẽ có tuyết rơi.
下周,xiàzhōu,Danh từ,Tuần sau,下周我们去旅游。,Xià zhōu wǒmen qù lǚyóu,Tuần sau chúng ta đi du lịch.
夏天,xiàtiān,Danh từ,Mùa hè,夏天很热，我们去游泳吧。,"Xiàtiān hěn rè, wǒmen qù yóuyǒng ba","Mùa hè rất nóng, chúng ta đi bơi đi."
相同,xiāngtóng,Tính từ,Giống nhau,他们的衣服相同。,Tāmen de yīfu xiāngtóng,Quần áo của họ giống nhau.
相信,xiāngxìn,Động từ,Tin tưởng,我相信你能做到。,Wǒ xiāngxìn nǐ néng zuò dào,Tôi tin bạn có thể làm được.
响,xiǎng,Danh từ,"Tiếng, âm thanh",外面有很大的响声。,Wàimiàn yǒu hěn dà de xiǎng shēng,Bên ngoài có âm thanh rất lớn.
想到,xiǎngdào,Động từ,"Nghĩ đến, nhớ đến",我想到一个好办法。,Wǒ xiǎngdào yí gè hǎo bànfǎ,Tôi nghĩ ra một cách hay.
想法,xiǎng·fǎ,Danh từ,"Ý tưởng, suy nghĩ",你的想法很好！,Nǐ de xiǎngfǎ hěn hǎo,Ý tưởng của bạn rất hay!
想起,xiǎngqǐ,Động từ,"Nhớ lại, nghĩ ra",我想起了小时候的事。,Wǒ xiǎngqǐ le xiǎoshíhòu de shì,Tôi nhớ lại chuyện hồi nhỏ.
向,xiàng,Giới từ,"Hướng về, về phía",他向老师问好。,Tā xiàng lǎoshī wènhǎo,Anh ấy chào hỏi thầy giáo.
相机,xiàngjī,Danh từ,Máy ảnh,你的相机很好看。,Nǐ de xiàngjī hěn hǎokàn,Máy ảnh của bạn trông rất đẹp.
像,xiàng,Động từ,Giống như,你像你的哥哥。,Nǐ xiàng nǐ de gēge,Bạn giống anh trai của bạn.
小 （小王）,Xiǎo,Danh từ,Tiểu,小王是我的同事。,Xiǎo wáng shì wǒ de tóngshì,Tiểu Vương là đồng nghiệp của tôi.
小声,xiǎoshēng,Danh từ,Giọng nhỏ,请小声说话。,Qǐng xiǎoshēng shuōhuà,Làm ơn nói nhỏ lại.
小时候,xiǎoshíhòu,Danh từ,Thời thơ ấu,小时候，我喜欢画画。,"Xiǎoshíhòu, wǒ xǐhuān huàhuà","Khi còn nhỏ, tôi thích vẽ tranh."
小说,xiǎoshuō,Danh từ,Tiểu thuyết,她在看一本小说。,Tā zài kàn yī běn xiǎoshuō,Cô ấy đang đọc một cuốn tiểu thuyết.
小心,xiǎoxīn,Động từ,Cẩn thận,过马路要小心。,Guò mǎlù yào xiǎoxīn,Qua đường phải cẩn thận.
小组,xiǎozǔ,Danh từ,Nhóm nhỏ,我们是一个小组。,Wǒmen shì yī gè xiǎozǔ,Chúng tôi là một nhóm nhỏ.
校园,xiàoyuán,Danh từ,Khuôn viên trường,我们的校园很大。,Wǒmen de xiàoyuán hěn dà,Khuôn viên trường chúng tôi rất lớn.
校长,xiàozhǎng,Danh từ,Hiệu trưởng,校长在开会。,Xiàozhǎng zài kāihuì,Hiệu trưởng đang họp.
笑话,xiàohuà,Động từ,"Cười, trêu đùa chế nhạo, cười nhạo",不要笑话(tô đỏ)别人。 别笑话他，要互相尊重。,"Búyào xiàohuà biérén/ /Bié xiàohuà tā, yào hùxiāng zūnzhòng","Đừng chê cười người khác. Đừng cười nhạo anh ấy, phải tôn trọng lẫn nhau."
笑话儿,xiàohuà er,Danh từ,,,,
鞋,xié,Danh từ,Giày,你的鞋很好看。,Nǐ de xié hěn hǎokàn,Đôi giày của bạn rất đẹp.
心里,xīn·lǐ,Danh từ,Trong lòng,我心里很高兴。,Wǒ xīnlǐ hěn gāoxìng,Trong lòng tôi rất vui.
心情,xīnqíng,Danh từ,Tâm trạng,今天我的心情很好。,Jīntiān wǒ de xīnqíng hěn hǎo,Hôm nay tâm trạng tôi rất tốt.
心中,xīnzhōng,Danh từ,Trong lòng,他心中有很多想法。,Tā xīnzhōng yǒu hěn duō xiǎngfǎ,Trong lòng anh ấy có rất nhiều suy nghĩ.
新闻,xīnwén,Danh từ,Tin tức,我每天看新闻。,Wǒ měitiān kàn xīnwén,Tôi xem tin tức mỗi ngày.
信,xìn,Danh từ,"Thư, niềm tin",我给你写了一封信。,Wǒ gěi nǐ xiě le yì fēng xìn,Tôi đã viết cho bạn một bức thư.
信号,xìnhào,Danh từ,Tín hiệu,这里的信号不好。,Zhèlǐ de xìnhào bù hǎo,Tín hiệu ở đây không tốt.
信息,xìnxī,Danh từ,Thông tin,我想告诉你一个信息。,Wǒ xiǎng gàosù nǐ yí gè xìnxī,Tôi muốn nói với bạn một thông tin.
信心,xìnxīn,Danh từ,Lòng tin,你要对自己有信心。,Nǐ yào duì zìjǐ yǒu xìnxīn,Bạn phải có lòng tin vào bản thân.
信用卡,xìnyòngkǎ,Danh từ,Thẻ tín dụng,我用信用卡买东西。,Wǒ yòng xìnyòngkǎ mǎi dōngxi,Tôi dùng thẻ tín dụng để mua đồ.
星星,xīngxing,Danh từ,Ngôi sao,夜晚的星星很美丽。,Yèwǎn de xīngxing hěn měilì,Những ngôi sao về đêm thật đẹp.
行动,xíngdòng,Danh từ,Hành động,他说到就要行动。,Tā shuō dào jiù yào xíngdòng,Anh ấy nói là làm ngay.
行人,xíngrén,Danh từ,Người đi bộ,这里有很多行人。,Zhèlǐ yǒu hěn duō xíngrén,Ở đây có rất nhiều người đi bộ.
行为,xíngwéi,Danh từ,Hành vi,他的行为很奇怪。,Tā de xíngwéi hěn qíguài,Hành vi của anh ấy rất kỳ lạ.
姓,xìng,Danh từ,Họ,我姓王，你呢？,"Wǒ xìng Wáng, nǐ ne","Tôi họ Vương, còn bạn?"
姓名,xìngmíng,Danh từ,Họ và tên,请写下你的姓名。,Qǐng xiěxià nǐ de xìngmíng,Vui lòng ghi họ và tên của bạn.
休假,xiūjià,Động từ,Nghỉ phép,我下周要休假。,Wǒ xià zhōu yào xiūjià,Tuần sau tôi sẽ nghỉ phép.
许多,xǔduō,Số từ,Nhiều,这里有许多书。,Zhèlǐ yǒu xǔduō shū,Ở đây có rất nhiều sách.
选,xuǎn,Động từ,Chọn lựa,你可以选这个。,Nǐ kěyǐ xuǎn zhège,Bạn có thể chọn cái này.
学期,xuéqī,Danh từ,Học kỳ,这个学期很忙。,Zhège xuéqī hěn máng,Học kỳ này rất bận.
雪,xuě,Danh từ,Tuyết,下雪了，好美啊！,"Xià xuě le, hǎo měi a","Tuyết rơi rồi, đẹp quá!"
颜色,yánsè,Danh từ,Màu sắc,你喜欢什么颜色？,Nǐ xǐhuān shénme yánsè,Bạn thích màu gì?
眼,yǎn,Danh từ,Mắt,我的眼有点疼。,Wǒ de yǎn yǒudiǎn téng,Mắt của tôi hơi đau.
眼睛,yǎnjing,Danh từ,Đôi mắt,她的眼睛很大。,Tā de yǎnjing hěn dà,Đôi mắt của cô ấy rất to.
养,yǎng,Động từ,Nuôi,她家养了一只狗。,Tā jiā yǎng le yì zhī gǒu,Nhà cô ấy nuôi một con chó.
样子,yàngzi,Danh từ,"Dáng vẻ, kiểu dáng",这个样子很好看。,Zhège yàngzi hěn hǎokàn,Kiểu dáng này rất đẹp.
要求,yāoqiú,Danh từ,Yêu cầu,老师的要求很高。,Lǎoshī de yāoqiú hěn gāo,Yêu cầu của giáo viên rất cao.
药,yào,Danh từ,Thuốc,你要吃药吗？,Nǐ yào chī yào ma,Bạn có cần uống thuốc không?
药店,yàodiàn,Danh từ,Hiệu thuốc,药店在哪里？,Yàodiàn zài nǎlǐ,Hiệu thuốc ở đâu?
药片,yàopiàn,Danh từ,Viên thuốc,我每天吃两片药片。,Wǒ měitiān chī liǎng piàn yàopiàn,Tôi uống hai viên thuốc mỗi ngày.
药水,yàoshuǐ,Danh từ,Thuốc nước,这个药水很苦。,Zhège yàoshuǐ hěn kǔ,Thuốc nước này rất đắng.
也许,yěxǔ,Trạng từ,"Có lẽ, có thể",他也许不会来。,Tā yěxǔ bú huì lái,Anh ấy có lẽ sẽ không đến.
夜,yè,Danh từ,Đêm,今天夜里很冷。,Jīntiān yèlǐ hěn lěng,Đêm nay rất lạnh.
夜里,yè lǐ,Danh từ,Trong đêm,我夜里睡得很好。,Wǒ yèlǐ shuì de hěn hǎo,Tôi ngủ rất ngon vào ban đêm.
一部分,yí bùfen,Danh từ,Một phần,这是一部分工作。,Zhè shì yí bùfen gōngzuò,Đây là một phần công việc.
一定,yídìng,Phó từ,Nhất định,你一定要小心。,Nǐ yídìng yào xiǎoxīn,Bạn nhất định phải cẩn thận.
一共,yígòng,Phó từ,Tổng cộng,这些书一共多少钱？,Zhèxiē shū yígòng duōshǎo qián?,Những quyển sách này tổng cộng bao nhiêu tiền?
一会儿,yíhuìr,Phó từ,Một lát,请等我一会儿。,Qǐng děng wǒ yíhuìr,Vui lòng đợi tôi một lát.
一路平安,yílù píng’ān,Thành ngữ,Thượng lộ bình an,祝你一路平安！,Zhù nǐ yílù píng’ān,Chúc bạn thượng lộ bình an!
一路顺风,yílù shùnfēng,Thành ngữ,Thuận buồm xuôi gió,祝你一路顺风！,Zhù nǐ yílù shùnfēng,Chúc bạn lên đường thuận lợi!
已经,yǐjīng,Phó từ,Đã,我已经吃饭了。,Wǒ yǐjīng chī fàn le.,Tôi đã ăn cơm rồi.
以后,yǐhòu,Phó từ,"Sau này, về sau",以后我要学中文。,Yǐhòu wǒ yào xué zhōngwén,Sau này tôi muốn học tiếng Trung.
以前,yǐqián,Phó từ,"Trước đây, trước kia",以前我住在北京。,Yǐqián wǒ zhù zài Běijīng,Trước đây tôi sống ở Bắc Kinh.
以上,yǐshàng,Giới từ,Trở lên,我们需要十人以上。,Wǒmen xūyào shí rén yǐshàng,Chúng tôi cần từ 10 người trở lên.
以下,yǐxià,Giới từ,Trở xuống,这本书适合十岁以下。,Zhè běn shū shìhé shí suì yǐxià,Cuốn sách này phù hợp với trẻ dưới 10 tuổi.
以外,yǐwài,Giới từ,Ngoài ra,除了工作以外，我还学习。,"Chúle gōngzuò yǐwài, wǒ hái xuéxí","Ngoài công việc, tôi còn học tập."
以为,yǐwéi,Động từ,"Cho rằng, tưởng rằng",我以为你在家。,Wǒ yǐwéi nǐ zài jiā,Tôi tưởng bạn ở nhà.
椅子,yǐzi,Danh từ,Cái ghế,这把椅子很舒服。,Zhè bǎ yǐzi hěn shūfu,Cái ghế này rất thoải mái.
一般,yìbān,Tính từ,Thông thường,这家店的衣服一般。,Zhè jiā diàn de yīfu yìbān,Quần áo ở cửa hàng này bình thường.
一点点,yì diǎndiǎn,Phó từ,Một chút,请给我一点点水。,Qǐng gěi wǒ yì diǎndiǎn shuǐ,Làm ơn cho tôi một chút nước.
一生,yìshēng,Danh từ,Cả đời,他一生都很努力。,Tā yìshēng dōu hěn nǔlì,Anh ấy làm việc chăm chỉ cả đời.
一直,yìzhí,Phó từ,"Luôn luôn, suốt",我一直在学习汉语。,Wǒ yìzhí zài xuéxí Hànyǔ,Tôi luôn học tiếng Trung.
亿,yì,Số từ,100 triệu,中国有十多亿人口。,Zhōngguó yǒu shí duō yì rénkǒu,Trung Quốc có hơn một tỷ dân.
意见,yìjiàn,Danh từ,Ý kiến,你有什么意见吗？,Nǐ yǒu shénme yìjiàn ma,Bạn có ý kiến gì không?
意思,yìsi,Danh từ,"Ý nghĩa, ý tứ",这个词的意思是什么？,Zhège cí de yìsi shì shénme,Từ này có nghĩa là gì?
因为,yīnwèi,Liên từ,Bởi vì,因为下雨，我没去公园。,"Yīnwèi xiàyǔ, wǒ méi qù gōngyuán","Vì trời mưa, nên tôi không đi công viên."
阳,yáng,Danh từ,"Mặt trời, dương",太阳在天上很亮。,Tàiyáng zài tiānshàng hěn liàng,Mặt trời trên trời rất sáng.
明天,míngtiān,Danh từ,Ngày mai,明天我们去学校。,Míngtiān wǒmen qù xuéxiào,Ngày mai chúng tôi đi học.
音节,yīnjié,Danh từ,Âm tiết,这个词有两个音节。,Zhège cí yǒu liǎng gè yīnjié,Từ này có hai âm tiết.
音乐,yīnyuè,Danh từ,Âm nhạc,我喜欢听音乐。,Wǒ xǐhuan tīng yīnyuè,Tôi thích nghe nhạc.
音乐会,yīnyuèhuì,Danh từ,Buổi hòa nhạc,我们去听音乐会吧！,Wǒmen qù tīng yīnyuèhuì ba!,Chúng ta đi nghe hòa nhạc đi!
银行,yínháng,Danh từ,Ngân hàng,他去银行取钱。,Tā qù yínháng qǔ qián,Anh ấy đi ngân hàng rút tiền.
银行卡,yínhángkǎ,Danh từ,Thẻ ngân hàng,你有银行卡吗？,Nǐ yǒu yínhángkǎ ma,Bạn có thẻ ngân hàng không?
应该,yīnggāi,Động từ,"Nên, phải",你应该多喝水。,Nǐ yīnggāi duō hē shuǐ,Bạn nên uống nhiều nước.
英文,Yīngwén,Danh từ,Tiếng anh,他的英文很好。,Tā de Yīngwén hěn hǎo,Tiếng Anh của anh ấy rất tốt.
英语,Yīngyǔ,Danh từ,Tiếng anh,你会说英语吗？,Nǐ huì shuō Yīngyǔ ma,Bạn biết nói tiếng Anh không?
影片,yǐngpiàn,Danh từ,Bộ phim,这部影片很好看。,Zhè bù yǐngpiàn hěn hǎokàn,Bộ phim này rất hay.
影响,yǐngxiǎng,Động từ,Ảnh hưởng,太吵会影响学习。,Tài chǎo huì yǐngxiǎng xuéxí,Quá ồn sẽ ảnh hưởng đến việc học.
永远,yǒngyuǎn,Trạng từ,Mãi mãi,我们是永远的朋友。,Wǒmen shì yǒngyuǎn de péngyou,Chúng ta là bạn mãi mãi.
油,yóu,Danh từ,Dầu,炒菜需要用油。,Chǎocài xūyào yòng yóu,Xào rau cần dùng dầu.
游客,yóukè,Danh từ,Du khách,这里有很多游客。,Zhèlǐ yǒu hěn duō yóukè,Ở đây có rất nhiều du khách.
友好,yǒuhǎo,Tính từ,Thân thiện,她很友好。,Tā hěn yǒuhǎo,Cô ấy rất thân thiện.
有空儿,yǒu kòngr,Động từ,Rảnh rỗi,你明天有空儿吗？,Nǐ míngtiān yǒu kòngr ma?,Ngày mai bạn có rảnh không?
有人,yǒu rén,Danh từ,Có người,门外有人。,Mén wài yǒu rén,Ngoài cửa có người.
有（一）点儿,yǒu (yì) diǎnr,Phó từ,"Hơi, một chút",今天有点儿冷。,Jīntiān yǒudiǎnr lěng,Hôm nay hơi lạnh.
有意思,yǒu yìsi,Tính từ,"Thú vị, có ý nghĩa",这本书很有意思。,Zhè běn shū hěn yǒu yìsi,Cuốn sách này rất thú vị.
又,yòu,Liên từ,"Lại, vừa… vừa…",她又高又漂亮。,Tā yòu gāo yòu piàoliang,Cô ấy vừa cao vừa xinh đẹp.
鱼,yú,Danh từ,Cá,这个鱼很好吃。,Zhège yú hěn hǎochī,Con cá này rất ngon.
语言,yǔyán,Danh từ,Ngôn ngữ,你会几种语言？,Nǐ huì jǐ zhǒng yǔyán,Bạn biết bao nhiêu ngôn ngữ?
原来,yuánlái,Phó từ,"Hóa ra, vốn dĩ",原来是你！,Yuánlái shì nǐ,Hóa ra là bạn!
原因,yuányīn,Danh từ,Nguyên nhân,你知道原因吗？,Nǐ zhīdào yuányīn ma,Bạn biết nguyên nhân không?
院,yuàn,Danh từ,"Viện, sân",医院很大。,Yīyuàn hěn dà,Bệnh viện rất lớn.
院长,yuànzhǎng,Danh từ,Viện trưởng,他是医院院长。,Tā shì yīyuàn yuànzhǎng,Ông ấy là viện trưởng bệnh viện.
院子,yuànzi,Danh từ,"Sân, sân vườn",我家有个院子。,Wǒ jiā yǒu gè yuànzi,Nhà tôi có một cái sân.
月,yuè,Danh từ,"Tháng, mặt trăng",天上的月亮很美。,Tiānshàng de yuèliang hěn měi,Mặt trăng trên trời rất đẹp.
月份,yuèfèn,Danh từ,Tháng trong năm,这个月份很热。,Zhège yuèfèn hěn rè,Tháng này rất nóng.
月亮,yuèliàng,Danh từ,Mặt trăng,今晚的月亮很圆。,Jīnwǎn de yuèliàng hěn yuán,Mặt trăng tối nay rất tròn.
越,yuè,Phó từ,Càng… càng…,你越努力越成功。,Nǐ yuè nǔlì yuè chénggōng,Bạn càng nỗ lực càng thành công.
越来越,yuè lái yuè,Phó từ,Ngày càng,天气越来越冷。,Tiānqì yuè lái yuè lěng,Thời tiết ngày càng lạnh.
云,yún,Danh từ,Mây,天上的云很漂亮。,Tiān shàng de yún hěn piàoliang,Mây trên trời rất đẹp.
运动,yùndòng,Động từ,"Vận động, thể thao",他每天都运动。,Tā měi tiān dōu yùndòng,Anh ấy tập thể dục mỗi ngày.
咱,zán,Đại từ,"Tôi, ta, mình",咱不会说英语。,Zán bù huì shuō yīngyǔ,Tôi không biết nói tiếng Anh.
咱们,zánmen,Đại từ,Chúng ta,咱们吃饭吧。,Zánmen chīfàn ba,Chúng ta ăn cơm đi.
脏,zāng,Tính từ,Bẩn,你的衣服很脏。,Nǐ de yīfu hěn zāng,Quần áo của bạn rất bẩn.
早餐,zǎocān,Danh từ,Bữa sáng,我每天都吃早餐。,Wǒ měitiān dōu chī zǎocān,Tôi ăn sáng mỗi ngày.
早晨,zǎochén,Danh từ,Buổi sáng sớm,早晨的空气很好。,Zǎochén de kōngqì hěn hǎo,Không khí buổi sáng rất tốt.
早就,zǎo jiù,Phó từ,Đã sớm,他早就回家了。,Tā zǎo jiù huí jiā le,Anh ấy đã về nhà từ sớm.
怎么办,zěnme bàn,Động từ,Làm sao bây giờ?,我不知道怎么办。,Wǒ bù zhīdào zěnme bàn,Tôi không biết phải làm sao.
怎么样,zěnmeyàng,Đại từ,Như thế nào,你今天怎么样？,Nǐ jīntiān zěnme yàng,Hôm nay bạn thế nào?
怎样,zěnyàng,Đại từ,Như thế nào,今天的天气怎样？,Jīntiān de tiānqì zěnyàng,Thời tiết hôm nay thế nào?
占,zhàn,Động từ,Chiếm,苹果占了半个书包。,Píngguǒ zhànle bànge shūbāo.,Táo chiếm nửa cặp sách.
站,zhàn,Động từ,Đứng,你站在这里吧。,Nǐ zhàn zài zhèli ba,Bạn đứng ở đây đi.
站住,zhànzhù,Động từ,Đứng lại,请你站住一下。,Qǐng nǐ zhànzhù yíxià,Mời bạn đứng lại một chút.
长,zhǎng,Động từ,Lớn lên,孩子长得很快。,Háizi zhǎng de hěn kuài,Đứa trẻ lớn rất nhanh.
长大,zhǎngdà,Động từ,Trưởng thành,他长大了。,Tā zhǎngdà le,Anh ấy đã trưởng thành.
找出,zhǎochū,Động từ,Tìm ra,你找出答案了吗？,Nǐ zhǎochū dá’àn le ma?,Bạn đã tìm ra đáp án chưa?
照顾,zhàogù,Động từ,Chăm sóc,妈妈照顾我。,Māmā zhàogù wǒ,Mẹ chăm sóc tôi.
照片,zhàopiàn,Danh từ,Ảnh,这是我的照片。,Zhè shì wǒ de zhàopiàn,Đây là ảnh của tôi.
照相,zhào xiàng,Động từ,Chụp ảnh,我喜欢照相。,Wǒ xǐhuan zhào xiàng,Tôi thích chụp ảnh.
这么,zhème,Phó từ,Như vậy,你为什么这么说？,Nǐ wèishéme zhème shuō,Tại sao bạn nói như vậy?
这时候 | 这时,zhè shíhòu | zhè shí,Cụm từ,Lúc này; thời gian này,这时，他刚到家。,"Zhè shí, tā gāng dào jiā","Lúc này, anh ấy vừa về đến nhà."
这样,zhèyàng,Phó từ,Như thế này,这样做更好。,Zhèyàng zuò gèng hǎo,Làm thế này tốt hơn.
真正,zhēnzhèng,Tính từ,Thật sự,这是真正的爱。,Zhè shì zhēnzhèng de ài,Đây là tình yêu thật sự.
正常,zhèngcháng,Tính từ,Bình thường,一切都很正常。,Yíqiè dōu hěn zhèngcháng,Mọi thứ đều rất bình thường.
正好,zhènghǎo,Phó từ,"Vừa hay, đúng lúc",我来得正好。,Wǒ lái de zhènghǎo,Tôi đến vừa đúng lúc.
正确,zhèngquè,Tính từ,"Chính xác, đúng đắn",你的答案是正确的。,Nǐ de dá’àn shì zhèngquè de,Câu trả lời của bạn là chính xác.
正是,zhèngshì,Phó từ,Chính là,他正是我要找的人。,Tā zhèngshì wǒ yào zhǎo de rén,Anh ấy chính là người tôi đang tìm.
直接,zhíjiē,Phó từ,Trực tiếp,你可以直接告诉我。,Nǐ kěyǐ zhíjiē gàosu wǒ,Bạn có thể nói thẳng với tôi.
只,zhǐ,Phó từ,Chỉ (trong phạm vi),他只喝咖啡，不喝茶。,"Tā zhǐ hē kāfēi, bù hē chá","Anh ấy chỉ uống cà phê, không uống trà."
只要,zhǐyào,Liên từ,Chỉ cần,只要努力，就会成功。,"Zhǐyào nǔlì, jiù huì chénggōng","Chỉ cần cố gắng, bạn sẽ thành công."
只能,zhǐnéng,Phó từ,Chỉ có thể,我们只能等他回来。,Wǒmen zhǐnéng děng tā huílai,Chúng ta chỉ có thể đợi anh ấy quay về.
纸,zhǐ,Danh từ,Giấy,这张纸很白。,Zhè zhāng zhǐ hěn bái,Tờ giấy này rất trắng.
中餐,zhōngcān,Danh từ,Món ăn trung quốc,我喜欢吃中餐。,Wǒ xǐhuan chī Zhōngcān,Tôi thích ăn món Trung.
中级,zhōngjí,Tính từ,Trung cấp,我学中级汉语。,Wǒ xué zhōngjí Hànyǔ,Tôi học tiếng Trung trung cấp.
中年,zhōngnián,Danh từ,Trung niên,他是中年人。,Tā shì zhōngnián rén,Anh ấy là người trung niên.
