哎哟,āi yōu,ái chà
夕阳,xīyáng,Hoàng hôn
媳妇,xífù,Con dâu
袭击,xíjī,Tập kích
习俗,xísú,Tập tục
喜闻乐见,xǐwén lèjiàn,"Yêu thích, ưa chuộng"
喜悦,xǐyuè,Vui vẻ
细胞,xìbāo,Tế bào
细菌,xìjūn,Vi khuẩn
系列,xìliè,"Loạt, chuỗi"
细致,xìzhì,Tỉ mỉ
霞,xiá,"Ráng, hoàng hôn"
狭隘,xiá'ài,Hẹp hòi
峡谷,xiágǔ,Hẻm núi
狭窄,xiázhǎi,Hẹp
夏令营,xiàlìngyíng,Trại hè
下属,xiàshǔ,Cấp dưới
先进,xiānjìn,Tiên tiến
鲜明,xiānmíng,"Rõ ràng, sắc nét"
掀起,xiānqǐ,"Khởi động, bắt đầu"
先前,xiānqián,Trước kia
纤维,xiānwéi,Sợi
弦,xián,Dây đàn
嫌,xián,Ghét
闲话,xiánhuà,"Lời đồn, chuyện tào lao"
贤惠,xiánhuì,"Hiền lành, đức hạnh"
衔接,xiánjiē,Nối tiếp
嫌疑,xiányí,Nghi ngờ
显著,xiǎnzhù,Rõ rệt
现场,xiànchǎng,Hiện trường
现成,xiànchéng,Có sẵn
宪法,xiànfǎ,Hiến pháp
陷害,xiànhài,Hãm hại
馅儿,xiànr,Nhân (bánh)
陷入,xiànrù,Rơi vào
线索,xiànsuǒ,Manh mối
现状,xiànzhuàng,Tình hình hiện tại
相差,xiāngchà,Chênh lệch
相等,xiāngděng,Tương đương
相辅相成,xiāngfǔ xiāngchéng,Bổ trợ lẫn nhau
镶嵌,xiāngqiàn,Khảm nạm
相应,xiāngyìng,Tương ứng
乡镇,xiāngzhèn,Thị trấn
想方设法,xiǎngfāng shèfǎ,Tìm mọi cách
响亮,xiǎngliàng,Vang dội
响应,xiǎngyìng,Ứng đáp
巷,xiàng,Hẻm
项,xiàng,Hạng mục
向导,xiàngdǎo,Hướng dẫn viên
向来,xiànglái,Từ trước đến nay
向往,xiàngwǎng,"Hướng về, khao khát"
消除,xiāochú,Loại bỏ
消毒,xiāodú,Khử trùng
消防,xiāofáng,Phòng cháy chữa cháy
消耗,xiāohào,Tiêu hao
销毁,xiāohuǐ,Tiêu hủy
消极,xiāojí,Tiêu cực
小气,xiǎoqì,Keo kiệt
小心翼翼,xiǎoxīn yìyì,Cẩn thận từng chút
孝顺,xiàoshùn,Hiếu thảo
肖像,xiàoxiàng,Chân dung
效益,xiàoyì,Hiệu quả và lợi ích
携带,xiédài,Mang theo
协会,xiéhuì,Hiệp hội
协商,xiéshāng,Hiệp thương
协议,xiéyì,Thỏa thuận
协助,xiézhù,Hỗ trợ
写作,xiězuò,Viết văn
屑,xiè,Mảnh vụn
谢绝,xièjué,Từ chối
泄露,xièlòu,Rò rỉ
泄气,xièqì,Mất tinh thần
新陈代谢,xīnchéndàixiè,Sự trao đổi chất
心得,xīndé,Điều tâm đắc
新郎,xīnláng,Chú rể
心灵,xīnlíng,Tâm hồn
新娘,xīnniáng,Cô dâu
辛勤,xīnqín,Chăm chỉ
薪水,xīnshuǐ,Lương
心态,xīntài,Tâm lý
心疼,xīnténg,Thương xót
欣慰,xīnwèi,Vui mừng và an ủi
欣欣向荣,xīnxīn xiàngróng,"Thịnh vượng, phát triển mạnh"
心血,xīnxuè,Tâm huyết
心眼儿,xīnyǎnr,"Tâm ý, tấm lòng"
新颖,xīnyǐng,Mới mẻ
信赖,xìnlài,Tin cậy
信念,xìnniàn,Niềm tin
信仰,xìnyǎng,Tín ngưỡng
信誉,xìnyù,Uy tín
腥,xīng,Tanh
兴高采烈,xìnggāo cǎiliè,Phấn khởi
兴隆,xīnglóng,Thịnh vượng
兴旺,xīngwàng,Phát đạt
刑事,xíngshì,Hình sự
形态,xíngtài,Hình thái
行政,xíngzhèng,Hành chính
性感,xìnggǎn,Gợi cảm
幸好,xìnghǎo,May thay
性命,xìngmìng,Tính mạng
性能,xìngnéng,Tính năng
性情,xìngqíng,Tính tình
兴致勃勃,xìngzhì bóbó,"Hăng hái, say mê"
凶恶,xiōng'è,Hung ác
胸怀,xiōnghuái,"Lòng dạ, tâm hồn"
凶手,xiōngshǒu,Hung thủ
胸膛,xiōngtáng,Ngực
雄厚,xiónghòu,Hùng hậu
羞耻,xiūchǐ,Xấu hổ
修复,xiūfù,"Sửa chữa, phục hồi"
修建,xiūjiàn,Xây dựng
修理,xiūlǐ,Sửa chữa
修养,xiūyǎng,Tu dưỡng
绣,xiù,Thêu
嗅觉,xiùjué,Khứu giác
虚假,xūjiǎ,Giả dối
需求,xūqiú,Nhu cầu
虚荣,xūróng,Hư vinh
虚伪,xūwěi,Giả tạo
须知,xūzhī,Cần biết
许可,xǔkě,Cho phép
酗酒,xùjiǔ,Nghiện rượu
畜牧,xùmù,Chăn nuôi
序言,xùyán,Lời nói đầu
宣誓,xuānshì,Tuyên thệ
宣扬,xuānyáng,Tuyên truyền
悬挂,xuánguà,Treo
旋律,xuánlǜ,Giai điệu
悬念,xuánniàn,Lo lắng
悬崖峭壁,xuányá qiàobì,Vách đá cheo leo
旋转,xuánzhuǎn,"Quay, xoay"
选拔,xuǎnbá,Tuyển chọn
选手,xuǎnshǒu,Tuyển thủ
削弱,xuēruò,Suy yếu
学历,xuélì,Trình độ học vấn
学说,xuéshuō,Học thuyết
学位,xuéwèi,Học vị
雪上加霜,xuěshàng jiāshuāng,Tuyết trên sương
血压,xuèyā,Huyết áp
熏陶,xūntáo,"Đào tạo, hun đúc"
循环,xúnhuán,Tuần hoàn
巡逻,xúnluó,Tuần tra
寻觅,xúnmì,Tìm kiếm
循序渐进,xúnxù jiànjìn,Tiến hành tuần tự
押金,yājīn,Tiền đặt cọc
压迫,yāpò,Áp bức
压岁钱,yāsuìqián,Tiền lì xì
压缩,yāsuō,Nén
压抑,yāyì,Ức chế
压榨,yāzhà,"Ép, bóc lột"
压制,yāzhì,Kìm hãm
亚军,yàjūn,Á quân
烟花爆竹,yānhuā bàozhú,Pháo hoa
淹没,yānmò,Nhấn chìm
沿海,yánhǎi,Ven biển
严寒,yánhán,Lạnh giá
严禁,yánjìn,Cấm tuyệt đối
严峻,yánjùn,Nghiêm trọng
严厉,yánlì,Nghiêm khắc
言论,yánlùn,Ngôn luận
严密,yánmì,Kín đáo
延期,yánqī,Gia hạn
炎热,yánrè,Nóng bức
延伸,yánshēn,Mở rộng
岩石,yánshí,Đá
延续,yánxù,Tiếp tục
演变,yǎnbiàn,Diễn biến
掩盖,yǎngài,Che đậy
眼光,yǎnguāng,Ánh mắt
掩护,yǎnhù,Che chở
演讲,yǎnjiǎng,Diễn thuyết
眼色,yǎnsè,"Ánh mắt, ý tứ"
眼神,yǎnshén,Thần thái ánh mắt
掩饰,yǎnshì,Che giấu
演习,yǎnxí,Diễn tập
眼下,yǎnxià,Trước mắt
演绎,yǎnyì,Diễn giải
演奏,yǎnzòu,Diễn tấu
验收,yànshōu,Kiểm tra và nhận
厌恶,yànwù,Ghét
验证,yànzhèng,Xác minh
氧气,yǎngqì,Oxy
样品,yàngpǐn,Mẫu hàng
摇摆,yáobǎi,Đung đưa
摇滚,yáogǔn,Nhạc rock
摇晃,yáohuàng,Lắc lư
遥控,yáokòng,Điều khiển từ xa
谣言,yáoyán,Tin đồn
遥远,yáoyuǎn,Xa xôi
咬牙切齿,yǎoyá qièchǐ,Nghiến răng kèn kẹt
要不然,yàobùrán,Nếu không thì
要点,yàodiǎn,Điểm quan trọng
要命,yàomìng,Chết người
要素,yàosù,Yếu tố
耀眼,yàoyǎn,Chói mắt
野蛮,yěmán,Man rợ
野心,yěxīn,Tham vọng
依次,yīcì,Lần lượt
一度,yīdù,Đã từng
一帆风顺,yīfān fēngshùn,Thuận buồm xuôi gió
一贯,yīguàn,Trước sau như một
依旧,yījiù,Vẫn như cũ
一举两得,yījǔ liǎngdé,Một công đôi việc
依据,yījù,Căn cứ vào
依靠,yīkào,Dựa vào
依赖,yīlài,Ỷ lại
一流,yīliú,Hàng đầu
一律,yīlǜ,Đồng nhất
一目了然,yīmù liǎorán,Rõ ràng trong nháy mắt
一如既往,yīrú jìwǎng,Như trước đây
衣裳,yīshang,Quần áo
一丝不苟,yīsī bùgǒu,Tỉ mỉ cẩn thận
依托,yītuō,Dựa vào
一向,yīxiàng,Luôn luôn
一再,yīzài,Nhiều lần
遗产,yíchǎn,Di sản
遗传,yíchuán,Di truyền
疑惑,yíhuò,Nghi ngờ
遗留,yíliú,Để lại
仪器,yíqì,Dụng cụ
遗失,yíshī,Mất mát
仪式,yíshì,Nghi thức
以便,yǐbiàn,Để tiện
以免,yǐmiǎn,Để tránh
以往,yǐwǎng,Trước đây
以至,yǐzhì,Đến mức
以致,yǐzhì,Kết quả là
亦,yì,Cũng
翼,yì,Cánh
异常,yìcháng,Bất thường
毅力,yìlì,Kiên trì
意料,yìliào,Dự đoán
毅然,yìrán,Kiên quyết
意识,yìshí,Ý thức
意图,yìtú,Ý đồ
意味着,yìwèizhe,Nghĩa là
意向,yìxiàng,Ý định
意志,yìzhì,Ý chí
抑制,yìzhì,Ức chế
阴谋,yīnmóu,Âm mưu
音响,yīnxiǎng,Âm thanh
隐蔽,yǐnbì,Ẩn nấp
引导,yǐndǎo,Hướng dẫn
隐患,yǐnhuàn,Hiểm họa tiềm ẩn
隐瞒,yǐnmán,Che giấu
引擎,yǐnqíng,Động cơ
饮食,yǐnshí,Ăn uống
隐私,yǐnsī,Riêng tư
引用,yǐnyòng,Trích dẫn
隐约,yǐnyuē,Mờ ảo
印刷,yìnshuā,In ấn
婴儿,yīng'ér,Trẻ sơ sinh
英明,yīngmíng,Anh minh
英勇,yīngyǒng,Anh dũng
盈利,yínglì,Lợi nhuận
迎面,yíngmiàn,Đối mặt
荧屏,yíngpíng,Màn hình
应酬,yìngchou,Tiệc tùng
应邀,yìngyāo,Được mời
拥护,yōnghù,Ủng hộ
庸俗,yōngsú,Tầm thường
拥有,yōngyǒu,Sở hữu
永恒,yǒnghéng,Vĩnh cửu
涌现,yǒngxiàn,Xuất hiện nhiều
勇于,yǒngyú,Dám
踊跃,yǒngyuè,Hăng hái
用功,yònggōng,Chăm chỉ
用户,yònghù,Người dùng
优胜劣汰,yōushèng liètài,Chọn lọc tự nhiên
优先,yōuxiān,Ưu tiên
优异,yōuyì,Xuất sắc
忧郁,yōuyù,Buồn rầu
优越,yōuyuè,Ưu việt
油腻,yóunì,Mỡ màng
油漆,yóuqī,Sơn
犹如,yóurú,Như là
有条不紊,yǒutiáo bùwěn,Ngăn nắp
诱惑,yòuhuò,Cám dỗ
幼稚,yòuzhì,Non nớt
愚蠢,yúchǔn,Ngu ngốc
舆论,yúlùn,Dư luận
愚昧,yúmèi,Ngu dốt
渔民,yúmín,Ngư dân
与日俱增,yǔrì jùzēng,Tăng theo ngày
羽绒服,yǔróngfú,Áo lông vũ
予以,yǔyǐ,Đưa ra
愈,yù,Càng ... càng
熨,yùn,Ủi (là) quần áo
预料,yùliào,Dự đoán
预期,yùqī,Dự kiến
预赛,yùsài,Vòng loại
预算,yùsuàn,Dự toán
欲望,yùwàng,Ham muốn
预先,yùxiān,Trước
预言,yùyán,Tiên đoán
寓言,yùyán,Ngụ ngôn
预兆,yùzhào,Điềm báo
冤枉,yuānwang,Oan ức
原告,yuángào,Nguyên cáo
原理,yuánlǐ,Nguyên lý
园林,yuánlín,Vườn cảnh
圆满,yuánmǎn,Viên mãn
源泉,yuánquán,Nguồn
原始,yuánshǐ,Nguyên thủy
元首,yuánshǒu,Nguyên thủ
元素,yuánsù,Nguyên tố
原先,yuánxiān,Trước kia
元宵节,Yuánxiāojié,Tết Nguyên tiêu
约束,yuēshù,Ràng buộc
岳父,yuèfù,Bố vợ
乐谱,yuèpǔ,Bản nhạc
蕴藏,yùncáng,Chứa đựng
酝酿,yùnniàng,Lên men
运算,yùnsuàn,Tính toán
运行,yùnxíng,Vận hành
孕育,yùnyù,Nuôi dưỡng
砸,zá,"Đập, phá"
杂技,zájì,Xiếc
杂交,zájiāo,Lai giống
咋,zǎ,Sao (phương ngữ)
灾难,zāinàn,Thảm họa
栽培,zāipéi,Trồng trọt
宰,zǎi,"Giết, mổ"
在乎,zàihu,Quan tâm
再接再厉,zàijiē zàilì,Cố gắng không ngừng
在意,zàiyì,Quan tâm
攒,zǎn,Tích lũy
暂且,zànqiě,Tạm thời
赞叹,zàntàn,Ca ngợi
赞同,zàntóng,Đồng tình
赞扬,zànyáng,Ca ngợi
赞助,zànzhù,Tài trợ
遭受,zāoshòu,Chịu đựng
糟蹋,zāotà,Phá hoại
遭殃,zāoyāng,Gặp nạn
遭遇,zāoyù,Gặp phải
造反,zàofǎn,Nổi loạn
造型,zàoxíng,Tạo hình
噪音,zàoyīn,Tiếng ồn
责怪,zéguài,Trách móc
贼,zéi,Kẻ trộm
增添,zēngtiān,Thêm vào
赠送,zèngsòng,Tặng
渣,zhā,Cặn bã
扎,zhā,Cắm vào
扎实,zhāshi,Chắc chắn
眨,zhǎ,Chớp mắt
诈骗,zhàpiàn,Lừa đảo
摘要,zhāiyào,Tóm tắt
债券,zhàiquàn,Trái phiếu
沾光,zhānguāng,Hưởng lợi
瞻仰,zhānyǎng,Chiêm ngưỡng
斩钉截铁,zhǎndīng jiétiě,Kiên quyết dứt khoát
展示,zhǎnshì,Trưng bày
展望,zhǎnwàng,Nhìn xa trông rộng
展现,zhǎnxiàn,Hiển thị
崭新,zhǎnxīn,Mới tinh
战斗,zhàndòu,Chiến đấu
占据,zhànjù,Chiếm giữ
占领,zhànlǐng,Chiếm lĩnh
战略,zhànlüè,Chiến lược
战术,zhànshù,Chiến thuật
战役,zhànyì,Trận đánh
占有,zhànyǒu,Chiếm hữu
章程,zhāngchéng,Điều lệ
长辈,zhǎngbèi,Trưởng bối
障碍,zhàng'ài,Trở ngại
帐篷,zhàngpeng,Lều
朝气蓬勃,zhāoqì péngbó,Tràn đầy sức sống
招收,zhāoshōu,Tuyển dụng
招投标,zhāotóubiāo,Đấu thầu
着迷,zháomí,Mê hoặc
沼泽,zhǎozé,Đầm lầy
照料,zhàoliào,Chăm sóc
照样,zhàoyàng,Như thường lệ
照耀,zhàoyào,Chiếu sáng
照应,zhàoyìng,Đáp lại
遮挡,zhēdǎng,Che chắn
折腾,zhēteng,Quấy rầy
折,zhé,Gấp
折磨,zhémó,Dày vò
珍贵,zhēnguì,Quý báu
侦探,zhēntàn,Trinh thám
珍稀,zhēnxī,Quý hiếm
真相,zhēnxiàng,Sự thật
真挚,zhēnzhì,Chân thành
珍珠,zhēnzhū,Ngọc trai
斟酌,zhēnzhuó,Cân nhắc
阵地,zhèndì,Trận địa
镇定,zhèndìng,Bình tĩnh
振奋,zhènfèn,Phấn khởi
震惊,zhènjīng,Sốc
镇静,zhènjìng,Điềm tĩnh
阵容,zhènróng,Đội hình
振兴,zhènxīng,Chấn hưng
镇压,zhènyā,Đàn áp
争端,zhēngduān,Tranh chấp
争夺,zhēngduó,Tranh đoạt
蒸发,zhēngfā,Bốc hơi
征服,zhēngfú,Chinh phục
争气,zhēngqì,Không phụ lòng
征收,zhēngshōu,Thu thuế
争先恐后,zhēngxiān kǒnghòu,Tranh nhau
争议,zhēngyì,Tranh cãi
正月,zhēngyuè,Tháng Giêng
挣扎,zhēngzhá,Vật lộn
整顿,zhěngdùn,Chỉnh đốn
正当,zhèngdāng,Chính đáng
正负,zhèngfù,Dương và âm
正规,zhèngguī,Quy cách
正经,zhèngjīng,Đứng đắn
正气,zhèngqì,Chính khí
政权,zhèngquán,Chính quyền
证实,zhèngshí,Xác nhận
证书,zhèngshū,Chứng chỉ
正义,zhèngyì,Chính nghĩa
郑重,zhèngzhòng,Trịnh trọng
症状,zhèngzhuàng,Triệu chứng
枝,zhī,Cành cây
支撑,zhīchēng,Chống đỡ
支出,zhīchū,Chi tiêu
脂肪,zhīfáng,Mỡ (trong cơ thể)
知觉,zhījué,Tri giác
支流,zhīliú,Chi lưu
支配,zhīpèi,Chi phối
支援,zhīyuán,Hỗ trợ
支柱,zhīzhù,Trụ cột
知足常乐,zhīzú chánglè,Biết đủ thì luôn vui
值班,zhíbān,Trực ban
直播,zhíbō,Truyền hình trực tiếp
殖民地,zhímíndì,Thuộc địa
职能,zhínéng,Chức năng
职位,zhíwèi,Chức vị
职务,zhíwù,Chức vụ
指标,zhǐbiāo,Chỉ tiêu
指定,zhǐdìng,Chỉ định
指甲,zhǐjiǎ,Móng tay
指令,zhǐlìng,Chỉ thị
指南针,zhǐnánzhēn,La bàn
指示,zhǐshì,Chỉ thị
指望,zhǐwàng,Hy vọng
指责,zhǐzé,Chỉ trích
治安,zhì'ān,Trị an
制裁,zhìcái,Trừng phạt
致辞,zhìcí,Phát biểu
制订,zhìdìng,Lập kế hoạch
制服,zhìfú,Đồng phục
治理,zhìlǐ,Quản lý
智力,zhìlì,Trí lực
致力于,zhìlì yú,Dốc sức vào
滞留,zhìliú,Lưu lại
智能,zhìnéng,Trí tuệ nhân tạo
志气,zhìqì,Chí khí
智商,zhìshāng,Chỉ số thông minh
致使,zhìshǐ,Làm cho
制约,zhìyuē,Hạn chế
制止,zhìzhǐ,Ngăn chặn
忠诚,zhōngchéng,Trung thành
终点,zhōngdiǎn,Điểm cuối
中断,zhōngduàn,Gián đoạn
终究,zhōngjiū,Cuối cùng
中立,zhōnglì,Trung lập
终年,zhōngnián,Quanh năm
终身,zhōngshēn,Suốt đời
忠实,zhōngshí,Trung thực
衷心,zhōngxīn,Chân thành
中央,zhōngyāng,Trung ương
终止,zhōngzhǐ,Kết thúc
肿瘤,zhǒngliú,Khối u
种子,zhǒngzi,Hạt giống
种族,zhǒngzú,Chủng tộc
众所周知,zhòng suǒ zhōu zhī,Mọi người đều biết
重心,zhòngxīn,Trọng tâm
州,zhōu,"Bang, châu"
舟,zhōu,Thuyền
粥,zhōu,Cháo
周边,zhōubiān,Vùng lân cận
周密,zhōumì,Chu đáo
周年,zhōunián,Kỷ niệm năm
周期,zhōuqī,Chu kỳ
周折,zhōuzhé,Trắc trở
周转,zhōuzhuǎn,Luân chuyển
皱纹,zhòuwén,Nếp nhăn
昼夜,zhòuyè,Ngày đêm
株,zhū,Cây
诸位,zhūwèi,Các vị
逐年,zhúnián,Hằng năm
拄,zhǔ,Chống (gậy)
主办,zhǔbàn,Chủ trì
主导,zhǔdǎo,Chủ đạo
主管,zhǔguǎn,Quản lý
主流,zhǔliú,Trào lưu chính
主权,zhǔquán,Chủ quyền
主题,zhǔtí,Chủ đề
助理,zhùlǐ,Trợ lý
注射,zhùshè,Tiêm
注视,zhùshì,Nhìn chăm chú
注释,zhùshì,Chú thích
助手,zhùshǒu,Trợ thủ
铸造,zhùzào,Đúc
驻扎,zhùzhā,Đóng quân
住宅,zhùzhái,Nhà ở
注重,zhùzhòng,Chú trọng
著作,zhùzuò,Tác phẩm
拽,zhuài,Kéo
专长,zhuāncháng,Chuyên môn
专程,zhuānchéng,Chuyến đi đặc biệt
专科,zhuānkē,Chuyên khoa
专利,zhuānlì,Bằng sáng chế
专题,zhuāntí,Chuyên đề
砖瓦,zhuānwǎ,Gạch ngói
转达,zhuǎndá,Chuyển đạt
转让,zhuǎnràng,Chuyển nhượng
转移,zhuǎnyí,Chuyển đổi
转折,zhuǎnzhé,Chuyển biến
传记,zhuànjì,Tiểu sử
装备,zhuāngbèi,Trang bị
装卸,zhuāngxiè,Bốc dỡ
庄严,zhuāngyán,Trang nghiêm
庄重,zhuāngzhòng,Trịnh trọng
幢,zhuàng,Tòa nhà
壮观,zhuàngguān,Hoành tráng
壮丽,zhuànglì,Tráng lệ
壮烈,zhuàngliè,Oanh liệt
追悼,zhuīdào,Tưởng niệm
追究,zhuījiū,Truy cứu
准则,zhǔnzé,Chuẩn mực
琢磨,zuómo,"Suy nghĩ, nghiên cứu"
着手,zhuóshǒu,Bắt đầu
着想,zhuóxiǎng,Nghĩ cho
卓越,zhuóyuè,Xuất sắc
着重,zhuózhòng,Nhấn mạnh
资本,zīběn,Vốn
资产,zīchǎn,Tài sản
资深,zīshēn,Kinh nghiệm
姿态,zītài,Tư thế
滋味,zīwèi,Mùi vị
滋长,zīzhǎng,Tăng trưởng
资助,zīzhù,Tài trợ
子弹,zǐdàn,Đạn
自卑,zìbēi,Tự ti
自发,zìfā,Tự phát
自力更生,zìlì gēngshēng,Tự lực cánh sinh
自满,zìmǎn,Tự mãn
字母,zìmǔ,Chữ cái
自主,zìzhǔ,Tự chủ
踪迹,zōngjì,Dấu vết
棕色,zōngsè,Màu nâu
宗旨,zōngzhǐ,Tôn chỉ
总而言之,zǒng'éryánzhī,Tóm lại
总和,zǒnghé,Tổng hợp
纵横,zònghéng,Ngang dọc
走廊,zǒuláng,Hành lang
走漏,zǒulòu,Rò rỉ
走私,zǒusī,Buôn lậu
揍,zòu,Đánh
租赁,zūlìn,Thuê
足以,zúyǐ,Đủ để
组,zǔ,Nhóm
阻碍,zǔ'ài,Cản trở
祖父,zǔfù,Ông nội
阻拦,zǔlán,Ngăn cản
阻挠,zǔnáo,Cản trở
钻研,zuānyán,Nghiên cứu kỹ lưỡng
钻石,zuànshí,Kim cương
嘴唇,zuǐchún,Môi
遵循,zūnxún,Tuân theo
尊严,zūnyán,Nhân phẩm
左右,zuǒyòu,Khoảng
作弊,zuòbì,Gian lận
做东,zuòdōng,Làm chủ
作废,zuòfèi,Vô hiệu
作风,zuòfēng,Phong cách
作息,zuòxī,Làm việc và nghỉ ngơi
座右铭,zuòyòumíng,Câu nói yêu thích
做主,zuòzhǔ,Quyết định
